restaurantID,name,location,reviewCount,rating,categories,address,Hours,GoodforKids,AcceptsCreditCards,Parking,Attire,GoodforGroups,PriceRange,TakesReservations,Delivery,Takeout,WaiterService,OutdoorSeating,WiFi,GoodFor,Alcohol,NoiseLevel,Ambience,HasTV,Caters,WheelchairAccessible,webSite,phoneNumber,filReviewCount
x256BGaUq3lUL2_oF2x_g,Acappella Bistro,"A' Cappella Bistro - Near Southside - Chicago, IL",22,2,"Restaurants, Breakfast & Brunch, Italian, METADATA",1301 S Michigan AVE,Mon-Fri 11 am - 9 pm Sat 10 am - 9 pm Sun 10 am - 7 pm,Yes,Yes,"Garage, Street",Casual,No,$$,,Yes,Yes,Yes,No,No,Dinner,No,,,No,,Yes,http://acappellabistro.com,(312) 922-0600,18
gSixifGJO51MHlMLlv0ITQ,A Mano,"A Mano - CLOSED - Near North Side - Chicago, IL",93,4,"Restaurants, Italian, METADATA",335 N Dearborn St,,No,Yes,"Street, Valet",Casual,Yes,$$,Yes,Yes,Yes,Yes,Yes,,Dinner,Full Bar,,,,,Yes,http://www.amanochicago.com,(312) 629-3500,22
x1n82y4si2wajmqMD3Og4w,Abou Andre llc,"Abou Andre - The Loop - Chicago, IL",14,4,"Restaurants, Middle Eastern, Mediterranean, METADATA",60 E JACKSON AVE FL ,Mon-Sat 10:30 am - 9 pm,Yes,Yes,,Casual,Yes,$,No,Yes,Yes,No,No,Free,"Lunch, Dinner",No,Average,,No,Yes,Yes,http://abouandre.com,(312) 386-1300,3
X17aZqZ7-mEEzF6Me3yGcw,Ada's Famous Deli,"Ada's Famous Deli - The Loop - Chicago, IL",110,3,"Restaurants, Delis, Nightlife, Bars, Lounges, American (Traditional), METADATA",14 S Wabash Ave,Mon-Sat 6 am - 8 pm,Yes,Yes,Street,Casual,Yes,$$,No,No,Yes,Yes,No,,Lunch,Full Bar,Quiet,,Yes,,Yes,,(312) 214-4282,7
cKBsDV2zyOpmgjDANJl3fw,ALAIN'S RESTAURANT,"Alain's - Near Southside - Chicago, IL",7,4,"Restaurants, Southern, French, METADATA",1355 S Michigan Ave,,,,,,,,,,,,No,,,,Average,,,,,http://www.alainsets.com/,(312) 922-1186,2
ik7AItX8aAsIPvDGp16Bqw,ALL STARS ON WELLS,"Allstars Sports Bar & Grill - The Loop - Chicago, IL",28,3,"Nightlife, Bars, Sports Bars, Restaurants, American (Traditional), METADATA",205 W Wacker Dr,Mon-Fri 11 am - 11 pm Sat 12 pm - 11 pm,No,Yes,"Garage, Street",Casual,Yes,$$,Yes,Yes,Yes,Yes,Yes,Free,Lunch,Full Bar,Average,Casual,Yes,Yes,Yes,http://www.allstarschicago.com,(312) 977-1010,10
CbmDIicYRO-Ah9YqcMTq7g,Alonti Cafe,"Alonti Cafe - The Loop - Chicago, IL",5,3,"Restaurants, Fast Food, METADATA",401 S Lasalle St,,No,Yes,,Casual,No,$,No,Yes,Yes,No,No,,,No,Average,,No,Yes,,http://www.alonti.com,(312) 786-4668,0
GCBnAGTdQdHXuVfXpmAQXQ,Alonti Cafe,"Alonti Cafe - The Loop - Chicago, IL",6,4,"Restaurants, Delis, METADATA",225 N Michigan Ave,,,Yes,,Casual,No,$,No,No,Yes,No,,,,,,,,,,http://www.alonti.com,(312) 240-0349,0
I6fNJOS2Sa2QhSPjH1wSVg,Alonti Cafe,"Alonti Cafe - The Loop - Chicago, IL",43,4,"Restaurants, Fast Food, Italian, Sandwiches, METADATA",177 W Washington St,,Yes,Yes,,Casual,Yes,$,No,Yes,Yes,No,No,,"Lunch, Breakfast",No,,,,No,Yes,http://www.alonti.com,(312) 372-7550,1
qgti5xJUQhrxh-J4K2iAzg,Alonti Cafe,"Alonti Deli - Near West Side - Chicago, IL",4,3,"Restaurants, Delis, METADATA",2 N Riverside Plz,,,,,Casual,,$$,No,No,Yes,No,No,,,,,,,,,,(312) 258-0770,2
R_VkipLvwxbacWV0mfCBNg,Alonti Cafe,"Alonti Deli - Near West Side - Chicago, IL",21,3,"Restaurants, Delis, METADATA",300 S Riverside Plz,,Yes,Yes,,Casual,Yes,$$,No,Yes,Yes,No,Yes,No,,No,Average,,No,Yes,,,(312) 831-9102,3
fs9KhIYsNdONQv0zF6DjBg,Alonti Cafe,"Alonti Market Cafe - The Loop - Chicago, IL",19,4,"Restaurants, Sandwiches, METADATA",1 N Franklin St,,,Yes,,,No,$,No,Yes,Yes,No,No,,,,,,No,Yes,,https://www.alonti.com/,(312) 855-1866,0
t0fe25bF9bgkgUeY6PoRuQ,Al's Beef,"Al's Beef - The Loop - Chicago, IL",47,3,"Restaurants, Sandwiches, Italian, METADATA",28 E Jackson Dr,Mon-Fri 10 am - 8 pm,Yes,Yes,Street,Casual,Yes,$,No,No,Yes,No,No,No,Lunch,No,Average,Casual,No,Yes,Yes,http://www.alsbeef.com/index.asp,(312) 461-9292,0
oygq45Un8P21YY5r3bebhQ,Amarit Restaurant,"Amarit Thai Restaurant - Printer's Row - Chicago, IL",141,3,"Restaurants, Thai, METADATA",600 S Dearborn St,"Mon-Thu, Sun 11 am - 10 pm Fri-Sat 11 am - 11 pm",Yes,Yes,Street,Casual,Yes,$$,Yes,Yes,Yes,Yes,Yes,,"Lunch, Dinner",,Quiet,Casual,No,,Yes,http://www.amaritthai.com,(312) 939-1179,16
cLeooB50VE0KcE66_B4seA,Americana Submarine,"Americana Submarine - The Loop - Chicago, IL",13,2,"Restaurants, Sandwiches, METADATA",400 S Clark St,Mon-Sun 12 am - 12 am,Yes,Yes,,Casual,Yes,$,Yes,Yes,Yes,No,No,,Lunch,No,,,,,Yes,http://www.americanasubmarine.com,(312) 922-1275,4
Kvr-pWphDCPOXuFA-eKOrg,America's Dog,"America's Dog - The Loop - Chicago, IL",39,3,"Restaurants, Hot Dogs, METADATA",21 E Adams St,Mon-Fri 10 am - 8 pm Sat-Sun 10 am - 6 pm,Yes,Yes,Street,Casual,Yes,$,No,No,Yes,No,No,,Lunch,No,Average,Casual,No,Yes,Yes,http://americasdog.com,(312) 786-0100,13
L8WtXaZr2EBLUwIJ9zyqUQ,America's Dog,"America's Dog - The Loop - Chicago, IL",120,4,"Restaurants, Hot Dogs, METADATA",22 E Randolph St,Mon-Fri 10 am - 8 pm Sat-Sun 10 am - 6 pm,Yes,Yes,Street,Casual,No,$,No,Yes,Yes,No,No,No,Lunch,No,Average,Casual,No,Yes,Yes,http://www.americasdog.com,(312) 345-0100,10
7zXVHfCWPnoAgU2pEbaazQ,Ara On,"Ara On - The Loop - Chicago, IL",34,4,"Restaurants, Japanese, Korean, METADATA",190 S LA SALLE ST ,Mon-Fri 7 am - 9 pm,No,Yes,Street,Dressy,Yes,$$,Yes,No,Yes,Yes,No,No,Lunch,Full Bar,Average,"Trendy, Upscale",No,Yes,Yes,http://www.ara-on.com/,(312) 781-7300,6
3NHRKPfkUbG3FNfcXt8gqQ,ARBY'S ROAST BEEF,"Arby's - CLOSED - The Loop - Chicago, IL",13,3,"Restaurants, Fast Food, METADATA",195 N Dearborn St,,Yes,Yes,,Casual,Yes,$,No,No,Yes,No,No,,,No,,,,,Yes,,(312) 263-3515,0
CGEuI2AOrlm7uGf9XSTh3g,SANS 2 INC,"Arby's - The Loop - Chicago, IL",14,3,"Restaurants, Fast Food, METADATA",20 E Jackson Blvd,,Yes,Yes,,Casual,Yes,$,No,No,Yes,No,No,,"Lunch, Dinner",No,Average,,No,,Yes,http://arbys.com,(312) 427-2523,4
dVCY7bSTZPIH8rhXEKB5nQ,ARBY'S ROAST BEEF,"Arby's - The Loop - Chicago, IL",9,3,"Restaurants, Fast Food, METADATA",100 W Randolph St,,Yes,Yes,,Casual,Yes,$,No,No,Yes,No,No,,,No,,,,,Yes,http://www.arbys.com,(312) 419-8920,1
OqJiaUUsatguZk9Hp23L5w,Aria,"Aria - The Loop - Chicago, IL",200,4,"Nightlife, Bars, Restaurants, Sushi Bars, METADATA",200 N Columbus Dr,"Mon-Thu, Sun 6 am - 10 pm Fri-Sat 6 am - 10:30 pm",No,Yes,"Street, Private Lot, Valet",Dressy,Yes,$$$,Yes,No,Yes,Yes,Yes,Free,Dinner,Full Bar,Quiet,"Romantic, Classy, Upscale",No,,Yes,http://www.ariachicago.com,(312) 444-9494,28
_UbTkXQ_ZL-ruBUS40iGew,Armand's Pizzeria,"Armand's Pizzeria - Chicago, IL",2,3,"Restaurants, Pizza, METADATA",151 E Randolph,,Yes,Yes,,,,$,,,,,,,,,,,,,,http://armandspizzeriaexpress.com/,(312) 624-8547,1
1S3tW00La1Nphe91vFBjog,Around the Corner,"Around the Corner - CLOSED - The Loop - Chicago, IL",3,5,"Restaurants, METADATA",325 S Franklin St,,,,,,,,,,,,,,,,,,,,,,(312) 341-9405,0
PKtU9LxlidVbp5fnqIqnNA,Artists Snack Shop,"Artist's Cafe - The Loop - Chicago, IL",116,2,"Restaurants, Diners, METADATA",412 S Michigan Ave,Mon-Fri 12 pm - 8 pm,Yes,No,"Garage, Street",Casual,Yes,$$,No,No,Yes,Yes,Yes,,Lunch,Full Bar,Quiet,,No,No,Yes,http://www.artists-cafe.com,(312) 939-7855,22
y_sK_GBjfaUrgn-uHeTZ7A,Artist's Cafe,"Artist's Cafe - South Loop - Chicago, IL",9,3,"Restaurants, Diners, METADATA",1150 S Wabash Ave,,Yes,Yes,,Casual,Yes,$$,No,No,Yes,No,No,Free,,No,Average,,,Yes,,,(312) 583-9940,4
uTg6BwVQl0ldbx2R5IYdpA,Arturo Express,"Arturo Express - Near West Side - Chicago, IL",47,4,"Restaurants, Italian, METADATA",130 S Canal St,,Yes,Yes,Street,Casual,Yes,$,No,Yes,Yes,No,Yes,No,Lunch,No,Very Loud,,No,,Yes,http://www.arturoexpress.com,(312) 474-9289,4
IxuduyUqSXweO__NsrcakA,Asian Chao & Villa Italian,"Asian Chao and Villa Italian - The Loop - Chicago, IL",5,2,"Restaurants, Italian, METADATA",18 W Jackson Blvd,,,Yes,,,,$,,,,,,,,,,,,,,,,2
l8UBwRko7ztwSZfoLtIVaw,Atwood,"Atwood Cafe - The Loop - Chicago, IL",274,4,"Restaurants, American (New), METADATA",1 W Washington St,Mon-Fri 7 am - 9:30 pm Sat-Sun 8 am - 10 pm,No,Yes,Valet,Casual,No,$$$,Yes,No,No,Yes,Yes,No,"Lunch, Dinner",Full Bar,Average,Classy,No,,Yes,http://www.atwoodcafe.com,(312) 368-1900,26
l1vG_Oa1LzUouVUE3JhHQ,Au Bon Pain,"Au Bon Pain - The Loop - Chicago, IL",11,3,"Food, Bakeries, Restaurants, Sandwiches, METADATA",125 S Wacker Dr,,Yes,Yes,,Casual,Yes,$$,No,Yes,Yes,No,Yes,,,No,Very Loud,,No,,Yes,,(312) 419-7576,1
0T0duD3SSxYq5URTiYD6ow,Au Bon Pain,"Au Bon Pain - Chicago, IL",10,3,"Food, Bakeries, Restaurants, Sandwiches, METADATA",181 W Madison St Bldg,Mon-Fri 6 am - 6 pm,,,,Casual,,,,,,,,,,,,,,,,,(312) 578-0120,0
13H1Buaj31mBwLgopGE3xQ,Au Bon Pain,"Au Bon Pain - Near West Side - Chicago, IL",3,3,"Food, Bakeries, Restaurants, Sandwiches, METADATA",225 S Canal St,,No,,,,,,,,,,,,,No,,,,,,,,1
DuMmceW2bXosAevlUMOV_A,Au Bon Pain,"Au Bon Pain - The Loop - Chicago, IL",16,3,"Food, Bakeries, Restaurants, Sandwiches, METADATA",108 N State,Mon-Fri 5:30 am - 9 pm Sat 8 am - 8 pm Sun 8 am - 6 pm,,Yes,,Casual,,$,No,,Yes,No,No,,"Lunch, Breakfast",No,,,,,,http://www.aubonpain.com/locationsÃ¢â‚¬Â¦,(312) 419-1054,1
i_8xMxH_Ftp4E197CxUUfQ,Au Bon Pain,"Au Bon Pain - The Loop - Chicago, IL",42,3,"Restaurants, Sandwiches, Food, Bakeries, METADATA",200 E Randolph St bldg,Mon-Fri 6 am - 6 pm,Yes,Yes,,Casual,Yes,$$,No,No,Yes,No,Yes,,"Lunch, Breakfast",No,,,No,,Yes,,(312) 616-9249,1
TLnNYXv0jVoC8PXsyISxKg,Au Bon Pain,"Au Bon Pain - The Loop - Chicago, IL",31,3,"Restaurants, Sandwiches, Food, Bakeries, METADATA",200 W Adams St,,Yes,Yes,,Casual,Yes,$$,No,No,Yes,No,Yes,,Lunch,No,,,,,Yes,http://www.aubonpain.com,(312) 419-7571,1
EWEq3kJkBBbttckov6A2VA,AUGUSTINO'S ROCK 'N ROLL DELI,"Augustino's Rock & Roll Deli - CLOSED - The Loop - Chicago, IL",32,4,"Restaurants, Delis, Italian, METADATA",233 S WACKER DR ,,Yes,Yes,,Casual,Yes,$,No,Yes,Yes,No,No,,Lunch,No,,,,,Yes,http://www.augustinos.com/,(312) 258-1840,5
2AH6AcX1L6sNX60GUsEwVA,Argo Tea,"Argo Tea - The Loop - Chicago, IL",174,4,"Food, Coffee & Tea, METADATA",16 W Randolph St,Mon 6:30 am - 10 pm Tue-Fri 6:30 am - 11 pm Sat 8 am - 11 pm Sun 8 am - 9 pm,,Yes,Street,,,$,,,,,No,Free,,,,,,,Yes,http://www.argotea.com,(312) 324-3899,13
lce1pN2zQsEoOnV-WI-E2Q,Argo Tea,"Argo Tea - The Loop - Chicago, IL",32,4,"Food, Coffee & Tea, METADATA",140 S Dearborn St,Mon-Fri 6 am - 7:30 pm Sat 11 am - 5 pm,,Yes,Street,,,$$,,,,,No,Free,,,,,,,Yes,http://www.argotea.com/,(773) 663-4471,5
OLAg2LOGMz9USvA0kXsp7A,Australian Homemade,"Australian Homemade - CLOSED - The Loop - Chicago, IL",3,5,"Food, Ice Cream & Frozen Yogurt, Specialty Food, Chocolatiers and Shops, METADATA",3425 N SOUTHPORT AVE ,,,,,,,,,,,,,,,,,,,,,http://www.australianhomemade.com,(312) 781-3004,0
_Szglk2TO1rpP5lm9sPFvg,Angels & Kings,"Angels & Kings - The Loop - Chicago, IL",94,3,"Nightlife, Bars, METADATA",230 N Michigan Ave,Mon-Fri 3 pm - 2 am Sat 11 am - 3 am Sun 12 pm - 12 am,,Yes,Street,,No,$$$,,,,,No,,,Full Bar,Loud,"Hipster, Trendy",Yes,,Yes,http://www.angelsandkings.com/chicÃ¢â‚¬Â¦,(312) 334-6463,
